number ,name
5,中村 駈
39,遠藤 佑真
56,堀込 岳琉
16,南舘 海希
36,飯野 聖央
25,作道 海威
19,齋藤 玲季
14,小川 大翔
86,吉田 啓人
12,西村 ジン
47,廣河原 颯一
21,飯塚 智
30,横尾 琉貴
18,初澤 煌太
11,小菅 唯人
7,富岡 龍空

